video_id,angry,disgust,fear,happy,sad,surprise,neutral
22iCU_bsApA,0,0,0,0,1,0,0
23ILq4uxd-w,0,0,0,0,0,0,0
23QOy9Q2qNI,0,0,0,0,0,0,0
24-AhdoN_Nk,0,0,0,0,0,0,0
24HFgBQawWA,0,0,0,0,0,0,0
25ibuwW4Dm4,0,0,0,0,0,0,0
25Uouf_9DUk,0,0,0,0,0,0,0
260mj1dmJhU,0,0,0,0,0,0,0
266EI7hdjFs,0,0,0,0,0,0,0
26qOMpjicGs,0,0,0,0,0,0,0
26ZX7NbOhks,0,0,0,0,0,0,0
272qtYHyylk,0,0,0,0,0,0,0
27GV1PS8_Cw,0,0,0,0,0,0,1
28_tNFnMrTk,0,0,0,0,0,0,0
29FW8nTF0Ww,0,0,0,0,0,0,0
2A4ZlxAk8dQ,0,0,0,1,0,0,1
2a52cBN9qOA,0,0,0,0,0,0,0
2AAUadR6Hjw,0,0,0,0,0,0,0
2afSbqlp5HU,0,0,0,0,0,0,0
2aQykuIaJVI,0,0,0,1,0,0,0
2aThW4BSdbQ,0,0,0,0,3,0,1
2ATuTL5i0_c,0,0,0,0,0,1,0
2B1sY4NecnI,0,0,0,0,1,0,0
2b5C6Xp3pwA,0,0,0,0,0,0,0
2b5szHlQI_A,0,0,0,0,0,0,0
2BE4X3bYpxY,0,0,0,0,0,0,0
2BIx2x-Q2fE,0,0,0,0,0,0,0
2BwxeOzSx8A,1,0,0,0,0,0,0
2c9fXDI2EYE,0,0,0,0,0,0,0
2ckenWENyUg,0,0,0,0,0,0,0
2Cy2S6jbviQ,0,0,0,0,0,0,0
2dkl0fUKHAM,0,0,0,0,0,0,0
2dls8iCoQTI,0,0,0,0,0,0,0
2DVg-P0mZE4,0,0,1,0,0,0,0
2E_HEeOpiEA,0,0,0,0,0,0,1
2Fdx4TcQFe8,0,0,0,0,0,0,0
2fGXDFiFBhg,0,0,0,0,0,0,0
2fJIRQJ39eA,0,0,0,0,0,0,0
2fouYHWUhZo,0,0,0,1,0,0,0
2fxqFJsvus4,0,0,0,0,1,0,0
2fZ-qIHlA5M,0,0,0,0,0,0,0
2gGRX1bvgS8,0,0,1,0,1,0,0
2GjJ85MImlo,0,0,0,0,0,0,0
2GrKY7Qqal8,0,0,0,1,0,0,0
2h0bkuWzQeU,1,0,0,0,0,0,0
2HboMs0vbsE,0,0,0,0,0,0,0
2h_TxIxx-Kg,0,0,0,0,2,0,0
2iC9IGKIP50,0,0,0,0,0,0,0
2in8XqiElwc,0,0,0,0,0,0,0
2J6bJnwr1rw,0,0,1,0,1,0,0
2jhwGiO5XJ8,0,0,0,1,0,0,0
2jP6MFBXFaA,0,0,0,0,0,0,0
2jSWMme12ik,0,0,0,0,0,0,0
